Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,large car,3,30,36,32,7,Yes
HONDA Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV20,California LEV-III SULEV20,JHNXV01.5DL2,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B20,Federal Tier 3 Bin 20,JHNXV01.5DL2,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JHNXV00.0BE9,midsize car,10,126,103,114,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JHNXV00.0BE9,midsize car,10,126,103,114,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,JHNXV00.0AE9,midsize car,10,69,67,68,10,Elite
HONDA Clarity,N/A,N/A,Auto-1,2WD,Hydrogen,CA,ZEV,California ZEV,JHNXV00.0AE9,midsize car,10,69,67,68,10,Elite
HONDA Fit,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5YK2,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5YK2,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5KH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5KH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5KH2,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5YK2,station wagon,7,31,36,33,8,Yes
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5YK2,station wagon,7,31,36,33,8,Yes
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.8HA3,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,JHNXV01.8HA3,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.8HA3,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JHNXV01.8HA3,station wagon,3,28,34,31,7,Yes
HYUNDAI Accent,1.6,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,28,37,31,7,Yes
HYUNDAI Accent,1.6,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,28,37,31,7,Yes
HYUNDAI Accent,1.6,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,28,38,32,7,Yes
HYUNDAI Accent,1.6,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,28,38,32,7,Yes
HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHYXV01.41D6,midsize car,3,32,40,35,8,Yes
HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHYXV01.41D6,midsize car,3,32,40,35,8,Yes
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.01E3,midsize car,7,28,37,32,7,Yes
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.01E3,midsize car,7,28,37,32,7,Yes
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV02.01E5,midsize car,5,28,37,32,7,Yes
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV02.01E5,midsize car,5,28,37,32,7,Yes
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.01E3,midsize car,7,29,38,33,8,Yes
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.01E3,midsize car,7,29,38,33,8,Yes
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV02.01E5,midsize car,5,29,38,33,8,Yes
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV02.01E5,midsize car,5,29,38,33,8,Yes
HYUNDAI Ioniq,1.6,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.6D43,large car,7,55,54,55,10,Elite
HYUNDAI Ioniq,1.6,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.6D43,large car,7,55,54,55,10,Elite
HYUNDAI Ioniq Blue,1.6,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.6D43,large car,7,57,59,58,10,Elite
HYUNDAI Ioniq Blue,1.6,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.6D43,large car,7,57,59,58,10,Elite
HYUNDAI Ioniq Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JHYXV00.0151,midsize car,10,150,122,136,10,Elite
HYUNDAI Ioniq Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JHYXV00.0151,midsize car,10,150,122,136,10,Elite
HYUNDAI Ioniq Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JHYXV01.616T,midsize car,7,53/123,52/114,52/119,10,Elite
HYUNDAI Ioniq Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JHYXV01.616T,midsize car,7,53/123,52/114,52/119,10,Elite
HYUNDAI Kona,1.6,4,AutoMan-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV01.61Y5,small SUV,5,28,32,30,7,Yes
HYUNDAI Kona,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV01.61Y5,small SUV,5,28,32,30,7,Yes
HYUNDAI Kona,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV02.01Z5,small SUV,5,27,33,30,7,Yes
HYUNDAI Kona,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV02.01Z5,small SUV,5,27,33,30,7,Yes
HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHYXV01.61F5,large car,5,28,37,31,7,Yes
HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHYXV01.61F5,large car,5,28,37,31,7,Yes
HYUNDAI Sonata Hybrid,2,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.0113,midsize car,7,39,44,41,9,Yes
HYUNDAI Sonata Hybrid,2,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.0113,midsize car,7,39,44,41,9,Yes
HYUNDAI Sonata Hybrid SE,2,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.0113,midsize car,7,40,46,42,9,Yes
HYUNDAI Sonata Hybrid SE,2,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.0113,midsize car,7,40,46,42,9,Yes
HYUNDAI Sonata plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JHYXV02.012T,midsize car,7,37/99,42/100,39/99,10,Elite
HYUNDAI Sonata plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JHYXV02.012T,midsize car,7,37/99,42/100,39/99,10,Elite
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV03.5NCB,midsize car,3,28,33,30,7,Yes
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXV03.5NCB,midsize car,3,28,33,30,7,Yes
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV02.04E3,midsize car,7,29,37,32,7,Yes
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV02.04E3,midsize car,7,29,37,32,7,Yes
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JKMXV02.04E5,midsize car,5,29,37,32,7,Yes
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JKMXV02.04E5,midsize car,5,29,37,32,7,Yes
KIA Niro,1.6,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.6D43,station wagon,7,51,46,49,10,Elite
KIA Niro,1.6,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.6D43,station wagon,7,51,46,49,10,Elite
KIA Niro FE,1.6,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.6D43,station wagon,7,52,49,50,10,Elite
KIA Niro FE,1.6,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.6D43,station wagon,7,52,49,50,10,Elite
KIA Niro Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.645T,station wagon,7,48/110,44/99,46/105,10,Elite
KIA Niro Plug-in Hybrid,1.6,4,AutoMan-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.645T,station wagon,7,48/110,44/99,46/105,10,Elite
KIA Niro Touring,1.6,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JKMXV01.6D43,station wagon,7,46,40,43,9,Yes
KIA Niro Touring,1.6,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JKMXV01.6D43,station wagon,7,46,40,43,9,Yes
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.64VF,large car,3,28,37,31,7,Yes
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JKMXV01.64VF,large car,3,28,37,31,7,Yes
KIA Optima Hybrid,2,4,AutoMan-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV02.0426,midsize car,3,39,46,42,9,Yes
KIA Optima Hybrid,2,4,AutoMan-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV02.0426,midsize car,3,39,46,42,9,Yes
KIA Optima plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JKMXV02.043T,midsize car,7,38/103,43/104,40/103,10,Elite
KIA Optima plug-in hybrid,2,4,AutoMan-6,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JKMXV02.043T,midsize car,7,38/103,43/104,40/103,10,Elite
KIA Rio,1.6,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,29,37,32,7,Yes
KIA Rio,1.6,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,29,37,32,7,Yes
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JKMXV01.6DA6,small car,3,28,37,32,7,Yes
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JKMXV01.6DA6,small car,3,28,37,32,7,Yes
KIA Soul Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JKMXV00.0411,station wagon,10,124,93,108,10,Elite
KIA Soul Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JKMXV00.0411,station wagon,10,124,93,108,10,Elite
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P34,midsize car,7,40,39,40,9,Yes
LEXUS ES 300h,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P34,midsize car,7,40,39,40,9,Yes
LEXUS GS 450h,3.5,6,SCV-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV03.5P34,midsize car,7,29,34,31,7,Yes
LEXUS GS 450h,3.5,6,SCV-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV03.5P34,midsize car,7,29,34,31,7,Yes
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV03.5P35,small car,7,26,35,30,7,Yes
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV03.5P35,small car,7,26,35,30,7,Yes
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXT02.5P3M,small SUV,7,33,30,31,7,Yes
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXT02.5P3M,small SUV,7,33,30,31,7,Yes
LEXUS RX 450h,3.5,6,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXT03.5P34,standard SUV,7,31,28,30,7,Yes
LEXUS RX 450h,3.5,6,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXT03.5P34,standard SUV,7,31,28,30,7,Yes
LINCOLN MKZ Hybrid,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFMXV02.0VZT,midsize car,7,41,38,40,9,Yes
LINCOLN MKZ Hybrid,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JFMXV02.0VZT,midsize car,7,41,38,40,9,Yes
MAZDA 2,1.5,4,Man-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JTKXV01.5FBA,small car,3,30,39,34,8,Yes
MAZDA 2,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTKXV01.5FBA,small car,3,30,39,34,8,Yes
MAZDA 2,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JTKXV01.5FBA,small car,3,32,40,35,8,Yes
MAZDA 2,1.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTKXV01.5FBA,small car,3,32,40,35,8,Yes
MAZDA 3,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.0CDA,midsize car,7,27,37,31,7,Yes
MAZDA 3,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.0CDA,small car,7,28,38,31,7,Yes
MAZDA 3,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.0CDA,midsize car,7,27,37,31,7,Yes
MAZDA 3,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.0CDA,small car,7,28,38,31,7,Yes
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.0CDA,midsize car,7,28,37,32,7,Yes
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.0CDA,small car,7,28,37,31,7,Yes
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.0CDA,midsize car,7,28,37,32,7,Yes
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.0CDA,small car,7,28,37,31,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.5CDB,midsize car,7,26,35,30,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTKXV02.5CDB,small car,7,27,36,30,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.5CDB,midsize car,7,26,35,30,7,Yes
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTKXV02.5CDB,small car,7,27,36,30,7,Yes
MAZDA CX-3,2,4,SemiAuto-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JTKXV02.5FBA,small car,3,29,34,31,7,Yes
MAZDA CX-3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTKXV02.5FBA,small car,3,29,34,31,7,Yes
MERCEDES-BENZ C350e,2,4,Auto-7,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JMBXJ02.0HY1,small car,7,28/45,32/61,30/51,9,Yes
MERCEDES-BENZ C350e,2,4,Auto-7,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JMBXJ02.0HY1,small car,7,28/45,32/61,30/51,9,Yes
MERCEDES-BENZ GLC 350e 4Matic,2,4,Auto-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JMBXJ02.0HY1,small SUV,7,24/55,27/57,25/56,9,Yes
MERCEDES-BENZ GLC 350e 4Matic,2,4,Auto-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JMBXJ02.0HY1,small SUV,7,24/55,27/57,25/56,9,Yes
MERCEDES-BENZ GLE550e 4Matic,3,6,Auto-7,4WD,Gasoline/Electricity,CA,L3ULEV50,California LEV-III ULEV50,JMBXT03.0HY1,standard SUV,6,20/38,23/50,21/43,7,Yes
MERCEDES-BENZ GLE550e 4Matic,3,6,Auto-7,4WD,Gasoline/Electricity,FA,T3B50,Federal Tier 3 Bin 50,JMBXT03.0HY1,standard SUV,6,20/38,23/50,21/43,7,Yes
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXV01.5M36,small car,7,28,37,32,7,Yes
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXV01.5M36,small car,7,28,37,32,7,Yes
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXV01.5M36,small car,7,27,35,30,7,Yes
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXV01.5M36,small car,7,27,35,30,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXV01.5M36,small car,7,28,37,32,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXV01.5M36,small car,7,28,38,32,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXV01.5M36,small car,7,28,37,32,7,Yes
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXV01.5M36,small car,7,28,38,32,7,Yes
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JBMXV01.5M36,small car,7,27,35,30,7,Yes
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JBMXV01.5M36,small car,7,27,35,30,7,Yes
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JBMXV01.5H60,midsize car,3,28/63,27/66,27/65,9,Yes
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,JBMXV01.5H60,midsize car,3,28/63,27/66,27/65,9,Yes
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,33,40,35,8,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,33,40,35,8,Yes
MITSUBISHI Outlander PHEV,2,4,Auto-1,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JMTXT02.0H3M,small SUV,7,25/78,26/70,25/74,10,Elite
MITSUBISHI Outlander PHEV,2,4,Auto-1,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JMTXT02.0H3M,small SUV,7,25/78,26/70,25/74,10,Elite
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV02.5R5A,midsize car,7,27,38,31,7,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV02.5R5A,midsize car,7,27,38,31,7,Yes
NISSAN Altima SR,2.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV02.5R5A,midsize car,7,26,37,30,7,Yes
NISSAN Altima SR,2.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV02.5R5A,midsize car,7,26,37,30,7,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JNSXV0000TLA,midsize car,10,125,100,112,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JNSXV0000TLA,midsize car,10,125,100,112,10,Elite
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV01.6N4A,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV01.6N4A,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JNSXV01.6P4A,small car,5,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JNSXV01.6P4A,small car,5,27,36,30,7,Yes
