Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,small car,6,29,40,33,8,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,small car,3,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JGMXJ01.6356,small car,3,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,small car,3,30,52,37,7,Yes
CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JGMXJ01.6356,small car,3,30,52,37,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,midsize car,6,27,38,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,midsize car,6,27,38,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,midsize car,6,29,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,midsize car,6,29,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,midsize car,3,30,45,35,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JGMXJ01.6356,midsize car,3,30,45,35,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,JGMXJ01.6356,midsize car,3,29,48,35,7,Yes
CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,JGMXJ01.6356,midsize car,3,29,48,35,7,Yes
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,small car,6,29,39,33,8,Yes
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,small car,6,29,39,33,8,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,midsize car,6,28,37,31,7,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,midsize car,6,28,37,31,7,Yes
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JGMXV01.5002,midsize car,6,27,36,30,7,Yes
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JGMXV01.5002,midsize car,6,27,36,30,7,Yes
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JGMXV01.5010,midsize car,7,27,36,30,7,Yes
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JGMXV01.5010,midsize car,7,27,36,30,7,Yes
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.8050,midsize car,3,49,43,46,10,Yes
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.8050,midsize car,3,49,43,46,10,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,28,37,32,7,Yes
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,28,37,32,7,Yes
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,27,35,30,7,Yes
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,small car,3,27,35,30,7,Yes
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,28,37,32,7,Yes
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,28,37,32,7,Yes
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,27,35,30,7,Yes
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JGMXV01.4099,station wagon,3,27,35,30,7,Yes
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXV01.4050,small car,5,30,38,33,8,Yes
CHEVROLET Spark,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXV01.4050,small car,5,30,38,33,8,Yes
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXV01.4050,small car,5,29,39,33,8,Yes
CHEVROLET Spark,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXV01.4050,small car,5,29,39,33,8,Yes
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXV01.4050,small car,5,30,37,33,8,Yes
CHEVROLET Spark Activ,1.4,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXV01.4050,small car,5,30,37,33,8,Yes
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JGMXV01.4050,small car,5,29,38,32,7,Yes
CHEVROLET Spark Activ,1.4,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JGMXV01.4050,small car,5,29,38,32,7,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JGMXV01.5020,small car,3,43/113,42/99,42/106,10,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JGMXV01.5020,small car,3,43/113,42/99,42/106,10,Yes
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JGMXV01.5030,small car,7,43/113,42/99,42/106,10,Elite
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JGMXV01.5030,small car,7,43/113,42/99,42/106,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JCRXT03.65P3,minivan,7,32/89,33/78,32/84,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JCRXT03.65P3,minivan,7,32/89,33/78,32/84,10,Elite
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JCRXJ01.45P0,small car,3,26,35,30,7,Yes
FIAT 124 Spider,1.4,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JCRXJ01.45P0,small car,3,26,35,30,7,Yes
FIAT 500,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500,1.4,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500 Abarth,1.4,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JCRXJ01.45P0,small car,3,28,33,30,7,Yes
FIAT 500e,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JCRXV00.05PR,small car,10,121,103,112,10,Elite
FIAT 500e,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JCRXV00.05PR,small car,10,121,103,112,10,Elite
FORD C-MAX Hybrid,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFMXV02.0VZT,large car,7,42,38,40,9,Yes
FORD C-MAX Hybrid,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JFMXV02.0VZT,large car,7,42,38,40,9,Yes
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.6VDC,small car,3,27,37,31,7,Yes
FORD Fiesta,1.6,4,AMS-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.6VDC,small car,3,27,37,31,7,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.6VDC,small car,3,27,35,30,7,Yes
FORD Fiesta,1.6,4,Man-5,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.6VDC,small car,3,27,35,30,7,Yes
FORD Focus,1,3,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.0VD4,small car,3,30,40,34,8,Yes
FORD Focus,1,3,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JFMXV01.0VD4,small car,3,30,40,34,8,Yes
FORD Focus,1,3,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,JFMXV01.0VD4,small car,3,27,38,31,7,Yes
FORD Focus,1,3,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JFMXV01.0VD4,small car,3,27,38,31,7,Yes
FORD Focus,2,4,AutoMan-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFMXV02.0VZ2,small car,7,26,38,31,7,Yes
FORD Focus,2,4,AutoMan-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JFMXV02.0VZ2,small car,7,26,38,31,7,Yes
FORD Focus Electric,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JFMXV00.0VAF,small car,10,118,96,107,10,Elite
FORD Focus Electric,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JFMXV00.0VAF,small car,10,118,96,107,10,Elite
FORD Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JFMXV02.0VZQ,midsize car,7,43/102,41/91,42/97,10,Elite
FORD Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JFMXV02.0VZQ,midsize car,7,43/102,41/91,42/97,10,Elite
FORD Fusion Hybrid,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFMXV02.0VZT,midsize car,7,43,41,42,9,Yes
FORD Fusion Hybrid,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JFMXV02.0VZT,midsize car,7,43,41,42,9,Yes
HONDA Accord,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.54K2,large car,7,30,38,33,8,Yes
HONDA Accord,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.54K2,large car,7,30,38,33,8,Yes
HONDA Accord,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,JHNXV01.55J2,large car,6,26,35,30,7,Yes
HONDA Accord,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JHNXV01.55J2,large car,6,26,35,30,7,Yes
HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.54K2,large car,7,29,35,31,7,Yes
HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.54K2,large car,7,29,35,31,7,Yes
HONDA Accord,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV02.09K2,large car,7,47,47,47,10,Elite
HONDA Accord,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV02.09K2,large car,7,47,47,47,10,Elite
HONDA CR-V,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JHNXT01.51R3,small SUV,5,28,34,30,7,Yes
HONDA CR-V,1.5,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JHNXT01.51R3,small SUV,5,28,34,30,7,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV01.5362,small car,7,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV01.5362,small car,7,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,small car,3,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,small car,3,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5TH2,small car,3,30,41,35,8,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5TH2,small car,3,30,41,35,8,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV01.5VH3,small car,3,28,38,32,7,Yes
HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV01.5VH3,small car,3,28,38,32,7,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JHNXV02.0C63,small car,7,30,39,34,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JHNXV02.0C63,small car,7,30,39,34,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JHNXV02.0DH3,small car,3,30,39,34,8,Yes
HONDA Civic 2Dr,2,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JHNXV02.0DH3,small car,3,30,39,34,8,Yes
