model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,smog_ratin_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,smog_rating,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,7,yes,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7,yes,HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7.0,30.0,38.0,33.0,8,Yes
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7,yes,HONDA Accord,1.5,4,Man-6,2WD,Gasoline,large car,6.0,26.0,35.0,30.0,7,Yes
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7,yes,HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,29.0,35.0,31.0,7,Yes
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7.0,22.0,31.0,25.0,7,yes,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6,yes,HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7.0,30.0,38.0,33.0,8,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6,yes,HONDA Accord,1.5,4,Man-6,2WD,Gasoline,large car,6.0,26.0,35.0,30.0,7,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6,yes,HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,29.0,35.0,31.0,7,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,29.0,22.0,6,yes,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7.0,30.0,38.0,33.0,8,Yes
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,HONDA Accord,1.5,4,Man-6,2WD,Gasoline,large car,6.0,26.0,35.0,30.0,7,Yes
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,29.0,35.0,31.0,7,Yes
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,HONDA Accord,1.5,4,CVT,2WD,Gasoline,large car,7.0,30.0,38.0,33.0,8,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,HONDA Accord,1.5,4,Man-6,2WD,Gasoline,large car,6.0,26.0,35.0,30.0,7,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,HONDA Accord,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,29.0,35.0,31.0,7,Yes
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,HONDA Accord,2.0,4,CVT,2WD,Gasoline,large car,7.0,47.0,47.0,47.0,10,Elite
HONDA CR-V,2.4,4,Auto-L5,2WD,Gasoline,SUV,7.0,20.0,27.0,23.0,7,yes,HONDA CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,5.0,28.0,34.0,30.0,7,Yes
HONDA CR-V,2.4,4,Auto-L5,4WD,Gasoline,SUV,7.0,20.0,26.0,22.0,6,yes,HONDA CR-V,1.5,4,CVT,2WD,Gasoline,small SUV,5.0,28.0,34.0,30.0,7,Yes
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8,Yes
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7,Yes
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6.0,27.0,33.0,29.0,8,yes,HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8,Yes
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8,Yes
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7,Yes
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6.0,27.0,34.0,30.0,8,yes,HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8,Yes
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8,Yes
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7,Yes
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6.0,28.0,34.0,31.0,9,yes,HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8,Yes
HYUNDAI Accent,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,8,yes,HYUNDAI Accent,1.6,4,Man-6,2WD,Gasoline,small car,3.0,28.0,37.0,31.0,7,Yes
HYUNDAI Accent,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,8,yes,HYUNDAI Accent,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,38.0,32.0,7,Yes
HYUNDAI Accent,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,HYUNDAI Accent,1.6,4,Man-6,2WD,Gasoline,small car,3.0,28.0,37.0,31.0,7,Yes
HYUNDAI Accent,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,HYUNDAI Accent,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,38.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8,Yes
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Man-5,2WD,Gasoline,midsize car,7.0,24.0,33.0,27.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3.0,32.0,40.0,35.0,8,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7,Yes
HYUNDAI Elantra,2.0,4,Auto-L4,2WD,Gasoline,midsize car,7.0,25.0,33.0,28.0,8,yes,HYUNDAI Elantra,2.0,4,SemiAuto-6,2WD,Gasoline,midsize car,5.0,28.0,37.0,32.0,7,Yes
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7.0,21.0,30.0,24.0,7,yes,HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7,Yes
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7.0,21.0,31.0,25.0,7,yes,HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7,Yes
HYUNDAI Sonata,3.3,6,Auto-L5,2WD,Gasoline,large car,7.0,19.0,28.0,22.0,6,yes,HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5.0,28.0,37.0,31.0,7,Yes
KIA Optima,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,3.0,28.0,37.0,31.0,7,Yes
KIA Optima,2.4,4,Man-5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7,yes,KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,3.0,28.0,37.0,31.0,7,Yes
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25.0,35.0,29.0,8,yes,KIA Rio,1.6,4,Man-6,2WD,Gasoline,small car,3.0,29.0,37.0,32.0,7,Yes
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7.0,25.0,35.0,29.0,8,yes,KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,37.0,32.0,7,Yes
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,KIA Rio,1.6,4,Man-6,2WD,Gasoline,small car,3.0,29.0,37.0,32.0,7,Yes
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7.0,27.0,32.0,29.0,8,yes,KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,37.0,32.0,7,Yes
LEXUS GS 450h,3.5,6,Auto-S6,2WD,Gasoline,small car,9.0,22.0,25.0,23.0,7,yes,LEXUS GS 450h,3.5,6,SCV-8,2WD,Gasoline,midsize car,7.0,29.0,34.0,31.0,7,Yes
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,midsize car,7.0,27.0,37.0,31.0,7,Yes
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,small car,7.0,28.0,38.0,31.0,7,Yes
