Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,20,30,24,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,23,31,25,7,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,23,31,25,7,yes
BMW 328i Sport Wagon,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,19,29,22,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,20,27,23,7,yes
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,19,28,22,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,20,27,23,7,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,20,27,23,7,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,20,27,23,7,yes
BMW 328xi Sport Wagon,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,19,28,22,6,yes
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,20,27,23,7,yes
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,20,27,23,7,yes
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,20,28,23,7,yes
