Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
GMC Canyon,2.9,(4 cyl),Man-5,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
GMC Canyon,2.9,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
GMC Canyon,2.9,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,S2,8HNXV02.4EMC,large car,9.5,21,31,24,7,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,S2,8HNXV02.4EMC,small car,9.5,21,30,24,7,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,S2,8HNXV03.5BMC,large car,9.5,19,29,22,6,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,S2,8HNXV03.5BMC,small car,9.5,19,28,22,6,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B2,8HNXV02.4EMC,large car,9,21,31,24,7,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B2,8HNXV02.4EMC,small car,9,21,30,24,7,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,FA,B2,8HNXV03.5BMC,large car,9,19,29,22,6,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,FA,B2,8HNXV03.5BMC,small car,9,19,28,22,6,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXV02.4TKR,large car,7,21,31,24,7,yes
HONDA Accord,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HNXV02.4TKR,large car,7,22,31,25,7,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXV02.4TKR,small car,7,21,30,24,7,yes
HONDA Accord,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HNXV02.4TKR,small car,7,22,31,25,7,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXV03.5VKR,large car,7,19,29,22,6,yes
HONDA Accord,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8HNXV03.5VKR,small car,7,17,25,20,6,yes
HONDA Accord,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXV03.5VKR,small car,7,19,28,22,6,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8HNXV02.4TKR,large car,6,21,31,24,7,yes
HONDA Accord,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HNXV02.4TKR,large car,6,22,31,25,7,yes
HONDA Accord,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8HNXV02.4TKR,small car,6,21,30,24,7,yes
HONDA Accord,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HNXV02.4TKR,small car,6,22,31,25,7,yes
HONDA CR-V,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXT02.4KKR,SUV,7,20,27,23,7,yes
HONDA CR-V,2.4,(4 cyl),Auto-L5,4WD,Gasoline,CA,U2,8HNXT02.4KKR,SUV,7,20,26,22,6,yes
HONDA CR-V,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8HNXT02.4KKR,SUV,6,20,27,23,7,yes
HONDA Civic,1.8,(4 cyl),Auto-L5,2WD,CNG,CA,S2,8HNXV01.8XW3,small car,9.5,24,36,28,9,yes
HONDA Civic,1.8,(4 cyl),Auto-L5,2WD,CNG,FA,B2,8HNXV01.8XW3,small car,9,24,36,28,9,yes
HONDA Civic,1.8,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HNXV01.8LKR,small car,7,25,36,29,8,yes
HONDA Civic,1.8,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HNXV01.8LKR,small car,7,26,34,29,8,yes
HONDA Civic,1.8,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8HNXV01.8LKR,small car,6,25,36,29,8,yes
HONDA Civic,1.8,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HNXV01.8LKR,small car,6,26,34,29,8,yes
HONDA Civic,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,21,29,24,7,yes
HONDA Civic,2,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,21,29,24,7,yes
HONDA Civic Hybrid,1.3,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8HNXV01.3ZCP,small car,9.5,40,45,42,10,yes
HONDA Civic Hybrid,1.3,(4 cyl),Auto-AV,2WD,Gasoline,FA,B2,8HNXV01.3ZCP,small car,9,40,45,42,10,yes
HONDA Fit,1.5,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV01.5JKC,station wagon,6,27,33,29,8,yes
HONDA Fit,1.5,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8HNXV01.5JKC,station wagon,6,27,34,30,8,yes
HONDA Fit,1.5,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HNXV01.5JKC,station wagon,6,28,34,31,9,yes
HONDA Fit,1.5,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8HNXV01.5JKC,station wagon,6,27,33,29,8,yes
HONDA Fit,1.5,(4 cyl),Auto-L5,2WD,Gasoline,CA,L2,8HNXV01.5JKC,station wagon,6,27,34,30,8,yes
HONDA Fit,1.5,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8HNXV01.5JKC,station wagon,6,28,34,31,9,yes
HYUNDAI Accent,1.6,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXV01.6MW5,small car,7,24,33,28,8,yes
HYUNDAI Accent,1.6,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXV01.6MW5,small car,7,27,32,29,8,yes
HYUNDAI Accent,1.6,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8HYXV01.6MW5,small car,6,24,33,28,8,yes
HYUNDAI Accent,1.6,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HYXV01.6MW5,small car,6,27,32,29,8,yes
HYUNDAI Azera,3.3,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HYXV03.3TW5,large car,7,18,26,21,6,yes
HYUNDAI Azera,3.8,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HYXV03.8AW5,large car,7,17,26,20,6,yes
HYUNDAI Elantra,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,S2,8HYXV02.0HPC,midsize car,9.5,25,33,28,8,yes
HYUNDAI Elantra,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXV02.0HW5,midsize car,7,24,33,27,8,yes
HYUNDAI Elantra,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXV02.0HW5,midsize car,7,25,33,28,8,yes
HYUNDAI Elantra,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HYXV02.0HW5,midsize car,6,24,33,27,8,yes
HYUNDAI Elantra,2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8HYXV02.0HW5,midsize car,6,25,33,28,8,yes
HYUNDAI Santa Fe,2.7,(6 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXT02.7CW5,SUV,7,17,24,20,6,yes
HYUNDAI Santa Fe,2.7,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXT02.7CW5,SUV,7,18,24,20,6,yes
HYUNDAI Santa Fe,3.3,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HYXT03.3PW5,SUV,7,17,24,20,6,yes
HYUNDAI Sonata,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXV02.4SW5,large car,7,21,30,24,7,yes
HYUNDAI Sonata,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXV02.4SW5,large car,7,21,31,25,7,yes
HYUNDAI Sonata,3.3,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8HYXV03.3FW5,large car,7,19,28,22,6,yes
HYUNDAI Sonata,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8HYXV02.4SW5,large car,6,21,30,24,7,yes
HYUNDAI Sonata,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HYXV02.4SW5,large car,6,21,31,25,7,yes
HYUNDAI Tiburon,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXV02.0GW5,small car,7,20,27,22,6,yes
HYUNDAI Tiburon,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXV02.0GW5,small car,7,20,28,23,7,yes
HYUNDAI Tiburon,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8HYXV02.0GW5,small car,6,20,28,23,7,yes
HYUNDAI Tucson,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8HYXT02.0JW5,SUV,7,19,25,22,6,yes
HYUNDAI Tucson,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8HYXT02.0JW5,SUV,7,20,25,22,6,yes
HYUNDAI Tucson,2,(4 cyl),Man-5,4WD,Gasoline,CA,U2,8HYXT02.0JW5,SUV,7,19,24,21,6,yes
INFINITI G35,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8NSXV03.5GAB,midsize car,7,17,24,20,6,yes
INFINITI G35,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.5GAB,midsize car,7,17,25,20,6,yes
INFINITI G37,3.7,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8NSXV03.7GAA,small car,7,17,26,20,6,yes
INFINITI G37,3.7,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8NSXV03.7GAA,small car,7,18,24,20,6,yes
ISUZU I-290,2.9,(4 cyl),Man-5,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
ISUZU I-290,2.9,(4 cyl),Auto-L4,2WD,Gasoline,FC,B4,8GMXT02.9190,pickup,7,18,24,20,6,yes
JEEP Compass,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8CRXB0144M80,SUV,7,23,28,25,7,yes
JEEP Compass,2.4,(4 cyl),Auto-AV,4WD,Gasoline,CA,U2,8CRXB0144M81,SUV,7,21,24,22,6,yes
JEEP Compass,2.4,(4 cyl),Man-5,4WD,Gasoline,CA,U2,8CRXB0144M80,SUV,7,22,27,24,7,yes
JEEP Compass,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,23,27,24,7,yes
JEEP Compass,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,23,28,25,7,yes
JEEP Compass,2.4,(4 cyl),Man-5,4WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,22,27,24,7,yes
JEEP Patriot,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8CRXB0144M80,SUV,7,23,28,25,7,yes
JEEP Patriot,2.4,(4 cyl),Auto-AV,4WD,Gasoline,CA,U2,8CRXB0144M81,SUV,7,20,22,21,6,yes
JEEP Patriot,2.4,(4 cyl),Auto-AV,4WD,Gasoline,CA,U2,8CRXB0144M81,SUV,7,21,24,22,6,yes
JEEP Patriot,2.4,(4 cyl),Man-5,4WD,Gasoline,CA,U2,8CRXB0144M80,SUV,7,22,27,24,7,yes
JEEP Patriot,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,23,27,24,7,yes
JEEP Patriot,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,23,28,25,7,yes
JEEP Patriot,2.4,(4 cyl),Man-5,4WD,Gasoline,FA,B5,8CRXB02.4ME0,SUV,6,22,27,24,7,yes
KIA Optima,2.4,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8KMXV02.4MW5,midsize car,7,21,31,25,7,yes
KIA Optima,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8KMXV02.4MW5,midsize car,7,21,31,25,7,yes
KIA Optima,2.4,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8KMXV02.4MW5,midsize car,6,21,31,25,7,yes
KIA Optima,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8KMXV02.4MW5,midsize car,6,21,31,25,7,yes
KIA Rio,1.6,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8KMXV01.6BW5,small car,7,25,35,29,8,yes
KIA Rio,1.6,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8KMXV01.6BW5,small car,7,27,32,29,8,yes
KIA Rio,1.6,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8KMXV01.6BW5,small car,6,25,35,29,8,yes
KIA Rio,1.6,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8KMXV01.6BW5,small car,6,27,32,29,8,yes
KIA Rondo,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8KMXV02.4UW5,station wagon,7,19,26,22,6,yes
KIA Rondo,2.7,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8KMXV02.7NW5,station wagon,7,18,26,21,6,yes
KIA Spectra,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,S2,8KMXV02.0LPC,midsize car,9.5,24,32,27,8,yes
KIA Spectra,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8KMXV02.0LW5,midsize car,7,23,30,26,8,yes
KIA Spectra,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8KMXV02.0LW5,midsize car,7,24,32,27,8,yes
KIA Spectra,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8KMXV02.0LW5,midsize car,6,23,30,26,8,yes
KIA Spectra,2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8KMXV02.0LW5,midsize car,6,24,32,27,8,yes
KIA Sportage,2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8KMXT02.0KW5,SUV,7,19,25,21,6,yes
KIA Sportage,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8KMXT02.0KW5,SUV,7,20,25,22,6,yes
KIA Sportage,2,(4 cyl),Man-5,4WD,Gasoline,CA,U2,8KMXT02.0KW5,SUV,7,19,24,21,6,yes
LEXUS ES 350,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV03.5BEA,midsize car,7,19,27,22,6,yes
LEXUS GS 350,3.5,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8TYXV03.5BEB,midsize car,7,18,25,20,6,yes
LEXUS GS 350,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV03.5BEB,midsize car,7,19,27,22,6,yes
LEXUS GS 450h,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8TYXV03.5CC4,small car,9,22,25,23,7,yes
LEXUS GS 450h,3.5,(6 cyl),Auto-S6,2WD,Gasoline,FA,B3,8TYXV03.5CC4,small car,8,22,25,23,7,yes
LEXUS GS 460,4.6,(8 cyl),S8,2WD,Gasoline,CA,U2,8TYXV04.6BEA,midsize car,7,17,24,20,6,yes
LEXUS IS 250,2.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8TYXV02.5BEA,small car,7,18,26,21,6,yes
LEXUS IS 250,2.5,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8TYXV02.5BEA,small car,7,20,26,22,6,yes
LEXUS IS 250,2.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV02.5BEA,small car,7,21,29,24,7,yes
LEXUS IS 250,2.5,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8TYXV02.5BEA,small car,6,21,29,24,7,yes
LEXUS IS 350,3.5,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TYXV03.5BEB,small car,7,18,25,20,6,yes
LEXUS LS 600HL,5,(8 cyl),S8,4WD,Gasoline,CA,S2,8TYXV05.0CC4,midsize car,9,20,22,21,6,yes
LEXUS LS 600HL,5,(8 cyl),S8,4WD,Gasoline,FA,B3,8TYXV05.0CC4,midsize car,8,20,22,21,6,yes
LEXUS RX 350,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8TYXT03.5BEM,SUV,7,18,23,20,6,yes
LEXUS RX 350,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8TYXT03.5BEM,SUV,7,18,23,20,6,yes
LEXUS RX 400H,3.3,(6 cyl),Auto-AV,2WD,Gasoline,CA,S2,8TYXT03.3CCU,SUV,9,27,24,25,7,yes
LEXUS RX 400H,3.3,(6 cyl),Auto-AV,4WD,Gasoline,CA,S2,8TYXT03.3CCU,SUV,9,26,24,25,7,yes
LEXUS RX 400H,3.3,(6 cyl),Auto-AV,2WD,Gasoline,FA,B3,8TYXT03.3CCU,SUV,8,27,24,25,7,yes
LEXUS RX 400H,3.3,(6 cyl),Auto-AV,4WD,Gasoline,FA,B3,8TYXT03.3CCU,SUV,8,26,24,25,7,yes
LINCOLN MKZ,3.5,(6 cyl),Auto-L6,2WD,Gasoline,CA,U2,8FMXV03.5VEP,midsize car,7,18,28,22,6,yes
MAZDA 3,2,(4 cyl),Auto-S4,2WD,Gasoline,CA,S2,8TKXV02.0NH1,small car,9.5,23,31,26,8,yes
MAZDA 3,2,(4 cyl),Man-5,2WD,Gasoline,CA,S2,8TKXV02.0NH1,small car,9.5,24,32,27,8,yes
MAZDA 3,2.3,(4 cyl),Auto-S5,2WD,Gasoline,CA,S2,8TKXV02.3NH1,small car,9.5,22,29,24,7,yes
MAZDA 3,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,S2,8TKXV02.3NH1,small car,9.5,22,29,25,7,yes
MAZDA 3,2.3,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8TKXV02.3NF1,midsize car,7,18,26,20,6,yes
MAZDA 3,2,(4 cyl),Auto-S4,2WD,Gasoline,FA,B5,8TKXV02.35NM,small car,6,23,31,26,8,yes
MAZDA 3,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TKXV02.35NM,small car,6,24,32,27,8,yes
MAZDA 3,2.3,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8TKXV02.35NM,small car,6,22,29,24,7,yes
MAZDA 3,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TKXV02.35NM,small car,6,22,29,25,7,yes
MAZDA 5,2.3,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8TKXV02.35DA,minivan,6,21,27,23,7,yes
MAZDA 5,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TKXV02.35DA,minivan,6,22,28,24,7,yes
MAZDA 5,2.3,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8TKXV02.35DA,minivan,6,21,27,23,7,yes
MAZDA 5,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8TKXV02.35DA,minivan,6,22,28,24,7,yes
MAZDA 6,2.3,(4 cyl),Auto-S5,2WD,Gasoline,CA,S2,8TKXV02.3NH2,midsize car,9.5,21,28,24,7,yes
MAZDA 6,3,(6 cyl),Man-5,2WD,Gasoline,CA,U2,8TKXV03.05FA,midsize car,7,17,25,20,6,yes
MAZDA 6,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TKXV03.05FA,midsize car,7,18,25,20,6,yes
MAZDA 6,2.3,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8TKXV02.35DB,midsize car,6,21,28,24,7,yes
MAZDA 6,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TKXV02.35DB,midsize car,6,21,29,24,7,yes
MAZDA 6,2.3,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8TKXV02.35DB,midsize car,6,21,28,24,7,yes
MAZDA 6,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8TKXV02.35DB,midsize car,6,21,29,24,7,yes
MAZDA B2300,2.3,(4 cyl),Auto-L5,2WD,Gasoline,CA,U2,8FMXT02.31BA,pickup,7,19,24,21,6,yes
MAZDA B2300,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8FMXT02.31BA,pickup,7,21,26,23,7,yes
MAZDA B2300,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXT02.31EL,pickup,6,21,26,23,7,yes
MAZDA MX-5,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8TKXV02.05FA,small car,7,20,27,23,7,yes
MAZDA MX-5,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8TKXV02.05FA,small car,7,21,28,24,7,yes
MAZDA MX-5,2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8TKXV02.05FA,small car,7,22,27,24,7,yes
MAZDA MX-5,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8TKXV02.05FA,small car,6,20,27,23,7,yes
MAZDA MX-5,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8TKXV02.05FA,small car,6,21,28,24,7,yes
MAZDA MX-5,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8TKXV02.05FA,small car,6,22,27,24,7,yes
MAZDA Tribute,2.3,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8FMXT02.31EF,SUV,7,22,28,24,7,yes
MAZDA Tribute,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXT02.31EF,SUV,6,22,28,24,7,yes
MAZDA Tribute Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,34,30,32,9,yes
MAZDA Tribute Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,29,27,28,8,yes
MAZDA Tribute Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,34,30,32,9,yes
MAZDA Tribute Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,29,27,28,8,yes
MERCEDES-BENZ C300,3,(6 cyl),Man-6,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,18,26,21,6,yes
MERCEDES-BENZ C350,3.5,(6 cyl),Auto-L7,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,17,25,20,6,yes
MERCEDES-BENZ CLK350,3.5,(6 cyl),Auto-L7,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,17,25,20,6,yes
MERCEDES-BENZ CLK350 Cabriolet,3.5,(6 cyl),Auto-L7,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,17,25,20,6,yes
MERCEDES-BENZ SLK280,3,(6 cyl),Man-6,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,17,25,20,6,yes
MERCEDES-BENZ SLK280,3,(6 cyl),Auto-L7,2WD,Gasoline,FC,B4,8MBXV03.5BN4,small car,7,18,24,20,6,yes
MERCURY Mariner Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,34,30,32,9,yes
MERCURY Mariner Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,CA,S2,8FMXT02.32ZE,SUV,9.5,29,27,28,8,yes
MERCURY Mariner Hybrid,2.3,(4 cyl),Auto-AV,2WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,34,30,32,9,yes
MERCURY Mariner Hybrid,2.3,(4 cyl),Auto-AV,4WD,Gasoline,FA,B3,8FMXT02.32ZE,SUV,8,29,27,28,8,yes
MERCURY Milan,2.3,(4 cyl),Auto-L5,2WD,Gasoline,CA,S2,8FMXV02.3VZT,midsize car,9.5,20,28,23,7,yes
MERCURY Milan,3,(6 cyl),Auto-L6,4WD,Gasoline,CA,U2,8FMXV03.0VEK,midsize car,7,17,25,20,6,yes
MERCURY Milan,3,(6 cyl),Auto-L6,2WD,Gasoline,CA,U2,8FMXV03.0VEK,midsize car,7,18,26,21,6,yes
MERCURY Milan,2.3,(4 cyl),Auto-L5,2WD,Gasoline,FA,B5,8FMXV02.3VEU,midsize car,6,20,28,23,7,yes
MERCURY Milan,2.3,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8FMXV02.3VEU,midsize car,6,20,29,23,7,yes
MERCURY Sable,3.5,(6 cyl),Auto-L6,2WD,Gasoline,CA,S2,8FMXV03.51ZL,large car,9.5,18,28,22,6,yes
MINI Mini Cooper Convertible,1.6,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8BMXV01.6R52,small car,6,25,33,28,8,yes
MINI Mini Cooper Convertible,1.6,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8BMXV01.6R52,small car,6,26,35,29,8,yes
MINI Mini Cooper Convertible,1.6,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8BMXV01.6R52,small car,6,25,33,28,8,yes
MINI Mini Cooper Convertible,1.6,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8BMXV01.6R52,small car,6,26,35,29,8,yes
MINI Mini Cooper S Convertible,1.6,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV01.6R52,small car,6,22,31,26,8,yes
MINI Mini Cooper S Convertible,1.6,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV01.6R52,small car,6,24,31,27,8,yes
MINI Mini Cooper S Convertible,1.6,(4 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV01.6R52,small car,6,22,31,26,8,yes
MINI Mini Cooper S Convertible,1.6,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV01.6R52,small car,6,24,31,27,8,yes
MITSUBISHI Eclipse,2.4,(4 cyl),Auto-S4,2WD,Gasoline,CA,U2,8DSXV02.4G4H,small car,7,20,26,22,6,yes
MITSUBISHI Eclipse,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8DSXV02.4G4H,small car,7,20,28,23,7,yes
MITSUBISHI Eclipse,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8DSXV02.4GRH,small car,6,20,28,23,7,yes
MITSUBISHI Eclipse Spyder,2.4,(4 cyl),Auto-S4,2WD,Gasoline,CA,U2,8DSXV02.4G4H,small car,7,19,26,22,6,yes
MITSUBISHI Eclipse Spyder,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8DSXV02.4G4H,small car,7,19,26,22,6,yes
MITSUBISHI Galant,2.4,(4 cyl),Auto-S4,2WD,Gasoline,CA,S2,8DSXV02.4G6G,midsize car,9.5,20,27,23,7,yes
MITSUBISHI Galant,2.4,(4 cyl),Auto-S4,2WD,Gasoline,FA,B5,8DSXV02.4GRG,midsize car,6,20,27,23,7,yes
MITSUBISHI Lancer,2,(4 cyl),Man-5,2WD,Gasoline,CA,S2,8MTXV02.0G6G,small car,9.5,21,29,24,7,yes
MITSUBISHI Lancer,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,S2,8MTXV02.0G6G,small car,9.5,22,29,24,7,yes
MITSUBISHI Lancer,2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8MTXV02.0GRG,small car,6,21,29,24,7,yes
MITSUBISHI Lancer,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8MTXV02.0GRG,small car,6,22,29,24,7,yes
MITSUBISHI Outlander,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8MTXT03.0G6G,SUV,9.5,17,25,20,6,yes
